index,function,description,example,exp output
0,Indentation,Indentation refers to the spaces at the beginning of a code line
1,Comments,Comments are code lines that will not be executed
2,Multi Line Comments,How to insert comments on multiple lines
3,Creating Variables,Variables are containers for storing data values
4,Variable Names,How to name your variables
5,Assign Values to Multiple Variables,How to assign values to multiple variables
6,Output Variables,Use the print statement to output variables
7,String Concatenation,How to combine strings
8,Global Variables,Global variables are variables that belongs to the global scope
9,Built-In Data Types,Python has a set of built-in data types
10,Getting Data Type,How to get the data type of an object
11,Setting Data Type,How to set the data type of an object
12,Numbers,There are three numeric types in Python
13,Int,The integer number type
14,Float,The floating number type
15,Complex,The complex number type
16,Type Conversion,How to convert from one number type to another
17,Random Number,How to create a random number
18,Specify a Variable Type,How to specify a certain data type for a variable
19,String Literals,How to create string literals
20,Assigning a String to a Variable,How to assign a string value to a variable
21,Multiline Strings,How to create a multi line string
22,Strings are Arrays,Strings in Python are arrays of bytes representing Unicode characters
23,Slicing a String,How to slice a string
24,Negative Indexing on a String,How to use negative indexing when accessing a string
25,String Length,How to get the length of a string
26,Check In String,How to check if a string contains a specified phrase
27,Format String,How to combine two strings
28,Escape Characters,How to use escape characters
29,Boolean Values,True or False
30,Evaluate Booleans,Evaluate a value or statement and return either True or False
31,Return Boolean Value,Functions that return a Boolean value
32,Operators,Use operator to perform operations in Python
33,Arithmetic Operators,Arithmetic operator are used to perform common mathematical operations
34,Assignment Operators,Assignment operators are use to assign values to variables
35,Comparison Operators,Comparison operators are used to compare two values
36,Logical Operators,Logical operators are used to combine conditional statements
37,Identity Operators,Identity operators are used to see if two objects are in fact the same object
38,Membership Operators,Membership operators are used to test is a sequence is present in an object
39,Bitwise Operators,Bitwise operators are used to compare (binary) numbers
40,Lists,A list is an ordered and changeable collection
41,Access List Items,How to access items in a list
42,Change List Item,How to change the value of a list item
43,Loop Through List Items,How to loop through the items in a list
44,Check if List Item Exists,How to check if a specified item is present in a list
45,List Length,How to determine the length of a list
46,Add List Items,How to add items to a list
47,Remove List Items,How to remove list items
48,Copy a List,How to copy a list
49,Join Two Lists,How to join two lists
50,Tuple,A tuple is an ordered and unchangeable collection
51,Access Tuple Items,How to access items in a tuple
52,Change Tuple Item,How to change the value of a tuple item
53,Loop List Items,How to loop through the items in a tuple
54,Check if Tuple Item Exists,How to check if a specified item is present in a tuple
55,Tuple Length,How to determine the length of a tuple
56,Tuple With One Item,How to create a tuple with only one item
57,Remove Tuple Items,How to remove tuple items
58,Join Two Tuples,How to join two tuples
59,Set,A set is an unordered and unchangeable collection
60,Access Set Items,How to access items in a set
61,Add Set Items,How to add items to a set
62,Loop Set Items,DETTE KAPITTELET MANGLER
63,Check if Set Item Exists,DETTE KAPITTELET MANGLER
64,Set Length,How to determine the length of a set
65,Remove Set Items,How to remove set items
66,Join Two Sets,How to join two sets
67,Dictionary,A dictionary is an unordered and changeable collection
68,Access Dictionary Items,How to access items in a dictionary
69,Change Dictionary Item,How to change the value of a dictionary item
70,Loop Dictionary Items,How to loop through the items in a tuple
71,Check if Dictionary Item Exists,How to check if a specified item is present in a dictionary
72,Dictionary Length,How to determine the length of a dictionary
73,Add Dictionary Item,How to add an item to a dictionary
74,Remove Dictionary Items,How to remove dictionary items
75,Copy Dictionary,How to copy a dictionary
76,Nested Dictionaries,A dictionary within a dictionary
77,If Statement,How to write an if statement
78,If Indentation,If statemnts in Python relies on indentation (whitespace at the beginning of a line)
79,Elif,"elif is the same as ""else if"" in other programming languages"
80,Else,How to write an if...else statement
81,Shorthand If,How to write an if statement in one line
82,Shorthand If Else,How to write an if...else statement in one line
83,If AND,Use the and keyword to combine if statements
84,If OR,Use the or keyword to combine if statements
85,Nested If,How to write an if statement inside an if statement
86,The pass Keyword in If,Use the pass keyword inside empty if statements
87,While,How to write a while loop
88,While Break,How to break a while loop
89,While Continue,How to stop the current iteration and continue wit the next
90,While Else,How to use an else statement in a while loop
91,For,How to write a for loop
92,Loop Through a String,How to loop through a string
93,For Break,How to break a for loop
94,For Continue,How to stop the current iteration and continue wit the next
95,Looping Through a rangee,How to loop through a range of values
96,For Else,How to use an else statement in a for loop
97,Nested Loops,How to write a loop inside a loop
98,For pass,Use the pass keyword inside empty for loops
99,Function,How to create a function in Python
100,Call a Function,How to call a function in Python
101,Function Arguments,How to use arguments in a function
